Student_ID,First_Name,Last_Name,Email,Gender,Age,Department,Attendance (%),Midterm_Score,Final_Score,Assignments_Avg,Quizzes_Avg,Participation_Score,Projects_Score,Total_Score,Grade
S2390,Sara,Johnson,student2390@univ.edu,Male,25,CS,87.78,60.46,89.55,72.9,77.9,64.06,43.01,73.964,B
S2391,John,Brown,student2391@univ.edu,Female,23,Engineering,91.41,72.38,60.91,51.03,99.11,81.98,61.23,69.678,C
S2392,Ahmed,Brown,student2392@univ.edu,Female,20,CS,85.09,42.18,50.76,53.59,71.69,65.55,62.92,56.95,D
S2393,Ali,Smith,student2393@univ.edu,Female,24,CS,77.62,81.09,63.96,83.53,92.35,87.35,83.18,77.618,B
S2394,Ahmed,Johnson,student2394@univ.edu,Female,21,Mathematics,59.6,82.12,88.54,53.27,89.91,55.13,78.3,76.514,B
S2395,Maria,Smith,student2395@univ.edu,Male,20,Business,58.26,59.53,76.88,77.59,80.3,55.56,55.95,68.837,C
S2396,Maria,Jones,student2396@univ.edu,Male,23,Mathematics,69.15,50.17,42.63,68.26,89.85,52.85,61.6,57.764,D
S2397,Omar,Davis,student2397@univ.edu,Male,18,CS,84.6,75.77,69.7,93.71,52.39,80.62,49.84,72.835,B
S2398,John,Jones,student2398@univ.edu,Male,18,Business,98.62,89.05,94.86,98.12,57.62,67.92,84.66,88.472,A
S2399,Ali,Brown,student2399@univ.edu,Female,20,Engineering,97.16,51.65,82.28,62.63,66.97,48.42,76.95,70.938,B
S2400,Omar,Williams,student2400@univ.edu,Female,18,Business,90.78,62.3,74.46,90.17,67.48,73.8,59.36,73.775,B
S2401,Maria,Smith,student2401@univ.edu,Male,20,Business,52.25,44.18,76.76,96.09,63.98,77.41,85.89,70.36,B
S2402,Emma,Smith,student2402@univ.edu,Male,23,Business,86.65,73.95,62.92,80.12,76.67,59.28,49.35,69.915,C
S2403,Ahmed,Brown,student2403@univ.edu,Male,20,Business,83.34,90.7,64.79,82.02,77.09,89.73,41.46,74.556,B
S2404,Sara,Williams,student2404@univ.edu,Female,25,Engineering,65.82,88.84,87.39,50.18,83.79,74.71,47.65,74.974,B
S2405,Liam,Williams,student2405@univ.edu,Female,19,Business,53.19,57.98,91.46,94.09,92.23,72.3,44.04,75.708,B
S2406,Liam,Smith,student2406@univ.edu,Female,24,Engineering,84.72,58.89,83.31,66.48,95.49,81.85,49.14,73.77,B
S2407,Sara,Jones,student2407@univ.edu,Male,22,Mathematics,55.66,83.29,46.97,95.26,80.15,40.77,75.51,68.209,C
S2408,John,Brown,student2408@univ.edu,Female,20,Business,67.93,58.78,66.06,99.42,57.96,51.7,74.43,69.104,C
S2409,Omar,Davis,student2409@univ.edu,Female,18,Engineering,76.32,68.41,97.85,90.2,81.83,55.52,43.42,79.5,B
S2410,Emma,Brown,student2410@univ.edu,Female,24,Engineering,84.28,67.31,92.72,54.69,88.04,88.05,86.32,79.748,B
S2411,Sara,Jones,student2411@univ.edu,Male,19,Mathematics,96.08,86.76,45.82,92.43,61.07,73.08,49.49,69.281,C
S2412,Ali,Johnson,student2412@univ.edu,Female,25,CS,95.5,50.75,52.3,52.93,58.67,78.49,95.83,62.704,C
S2413,John,Davis,student2413@univ.edu,Male,18,Mathematics,82.03,77.12,60.44,90.35,91.4,57.21,70.75,74.387,B
S2414,Ali,Smith,student2414@univ.edu,Male,23,CS,74.9,77.6,64.72,88.21,94.14,43.3,80.72,75.309,B
S2415,Maria,Jones,student2415@univ.edu,Female,24,Business,74.94,70.53,66.19,51.58,94.75,66.18,88.38,70.816,B
S2416,Ahmed,Williams,student2416@univ.edu,Male,19,Engineering,69.39,57.78,50.67,79.76,73.06,91.52,75.23,65.065,C
S2417,Omar,Smith,student2417@univ.edu,Male,24,Engineering,93.33,76.54,70.57,84.35,66.89,90.24,67.56,76.421,B
S2418,John,Johnson,student2418@univ.edu,Female,20,Engineering,83.13,81.83,40.91,85.61,56.25,95.83,59.55,66.165,C
S2419,Omar,Smith,student2419@univ.edu,Male,25,Mathematics,52.28,70.8,51.78,82.99,55.77,44.25,95.57,64.717,C
S2420,Ahmed,Williams,student2420@univ.edu,Male,25,Business,80.74,57.66,58.75,63.68,65.34,45.36,98.94,65.479,C
S2421,Emma,Davis,student2421@univ.edu,Female,21,Business,74.65,64.81,94.49,69.9,91.9,92.07,60.66,79.118,B
S2422,Emma,Williams,student2422@univ.edu,Female,24,Mathematics,95.95,88.6,41.49,97.9,63.51,60.64,96.32,73.462,B
S2423,John,Williams,student2423@univ.edu,Female,25,Business,66.84,57.92,57.36,54.91,99.08,82.29,47.31,62.466,C
S2424,Emma,Brown,student2424@univ.edu,Female,20,Mathematics,55.45,48.61,73.98,89.95,81.53,99.17,85.1,72.575,B
S2425,Sara,Davis,student2425@univ.edu,Male,18,CS,61.52,97.22,61.68,87.33,66.67,45.94,95.31,75.695,B
S2426,Omar,Williams,student2426@univ.edu,Male,18,Engineering,78.75,74.23,50.68,80.56,71.87,49.39,54.52,65.117,C
S2427,Liam,Davis,student2427@univ.edu,Female,22,Mathematics,84.36,64.06,79.56,83.97,82.04,64.48,86.97,77.837,B
S2428,Ahmed,Jones,student2428@univ.edu,Female,18,Business,61.36,95.07,98.93,67.78,71.46,78.0,63.11,82.353,B
S2429,Maria,Davis,student2429@univ.edu,Female,21,Business,88.71,98.77,80.78,55.98,59.59,63.68,48.59,75.258,B
S2430,Ali,Jones,student2430@univ.edu,Male,24,CS,62.45,88.29,89.73,99.58,79.7,82.38,69.29,84.777,B
S2431,Sara,Davis,student2431@univ.edu,Female,25,CS,67.43,89.56,65.65,56.75,71.44,66.52,44.65,67.798,C
S2432,Omar,Brown,student2432@univ.edu,Female,18,Engineering,86.51,80.41,93.22,90.39,65.47,64.7,80.44,84.083,B
S2433,Ahmed,Jones,student2433@univ.edu,Female,22,Mathematics,65.31,54.99,93.76,61.9,96.8,59.83,49.72,72.586,B
S2434,Maria,Williams,student2434@univ.edu,Male,21,Business,84.2,73.25,71.16,76.65,88.25,56.65,44.87,72.06,B
S2435,Ahmed,Johnson,student2435@univ.edu,Male,19,CS,61.59,89.82,71.63,85.36,95.11,83.4,89.28,81.025,B
S2436,Omar,Brown,student2436@univ.edu,Male,22,Engineering,77.45,68.46,66.19,96.19,68.21,66.8,43.46,70.23,B
S2437,Omar,Williams,student2437@univ.edu,Female,20,Business,74.26,84.37,77.25,84.46,63.65,76.96,47.46,75.103,B
S2438,Ali,Davis,student2438@univ.edu,Female,19,Engineering,91.87,61.46,73.81,70.29,76.16,79.66,91.94,74.959,B
S2439,John,Brown,student2439@univ.edu,Male,25,CS,62.99,99.83,83.04,67.89,54.29,81.35,40.29,74.886,B
S2440,Ali,Smith,student2440@univ.edu,Female,22,Business,58.95,74.09,46.41,98.39,59.24,84.51,91.11,68.655,C
S2441,Emma,Jones,student2441@univ.edu,Female,19,Business,84.3,84.2,65.52,50.71,82.24,65.76,79.12,71.957,B
S2442,Ahmed,Davis,student2442@univ.edu,Male,19,CS,89.34,71.23,49.38,97.77,73.61,79.99,78.62,71.882,B
S2443,Sara,Williams,student2443@univ.edu,Female,25,Engineering,77.47,67.27,55.87,54.48,57.87,87.67,49.83,61.287,C
S2444,Emma,Davis,student2444@univ.edu,Male,21,Business,72.12,68.34,67.39,92.69,62.28,97.8,79.86,74.105,B
S2445,Omar,Davis,student2445@univ.edu,Female,20,Business,79.64,43.89,85.8,89.97,52.27,42.59,83.95,71.729,B
S2446,Emma,Jones,student2446@univ.edu,Male,24,CS,52.27,46.37,44.54,81.9,89.03,73.53,70.89,59.816,D
S2447,Maria,Jones,student2447@univ.edu,Female,21,Engineering,95.82,89.38,92.39,97.58,86.91,77.01,55.45,87.898,A
S2448,Emma,Johnson,student2448@univ.edu,Female,21,CS,71.66,96.58,53.63,92.54,82.51,91.9,43.52,73.65,B
S2449,Maria,Brown,student2449@univ.edu,Female,23,Business,74.42,47.88,44.06,65.6,98.57,88.1,98.42,64.18,C
S2450,Maria,Johnson,student2450@univ.edu,Male,25,Mathematics,90.62,64.35,50.16,63.19,75.05,74.1,65.57,64.225,C
S2451,John,Williams,student2451@univ.edu,Male,22,Business,55.14,58.93,75.23,75.55,61.3,65.98,53.46,65.977,C
S2452,Ahmed,Smith,student2452@univ.edu,Female,19,Engineering,96.6,85.33,96.49,58.89,75.58,42.38,48.81,79.064,B
S2453,Omar,Jones,student2453@univ.edu,Female,20,CS,51.3,53.31,83.26,55.01,83.35,88.27,95.88,71.358,B
S2454,Omar,Davis,student2454@univ.edu,Male,22,CS,60.59,81.68,76.61,51.73,62.3,40.69,59.06,67.308,C
S2455,Ahmed,Jones,student2455@univ.edu,Female,18,CS,93.63,71.87,66.19,84.72,51.68,95.34,98.64,76.101,B
S2456,Omar,Jones,student2456@univ.edu,Female,20,CS,64.17,44.94,92.91,61.02,67.43,65.42,48.04,67.249,C
S2457,Maria,Davis,student2457@univ.edu,Female,18,CS,83.48,67.27,52.83,60.63,50.06,63.93,76.83,62.631,C
S2458,Emma,Smith,student2458@univ.edu,Female,21,Business,92.79,42.62,40.84,78.23,73.92,72.1,76.97,60.484,C
S2459,Ahmed,Williams,student2459@univ.edu,Female,19,Mathematics,96.18,77.34,88.11,75.68,69.14,64.36,87.28,81.731,B
S2460,John,Davis,student2460@univ.edu,Male,25,Engineering,62.41,68.49,66.78,67.01,66.25,47.57,49.24,63.952,C
S2461,Maria,Johnson,student2461@univ.edu,Female,25,Business,54.62,82.12,95.61,59.31,65.18,77.02,53.89,75.224,B
S2462,Liam,Jones,student2462@univ.edu,Male,22,CS,65.72,94.78,44.97,54.37,92.96,54.18,49.62,64.141,C
S2463,Ahmed,Davis,student2463@univ.edu,Male,23,Mathematics,84.56,46.19,65.58,51.0,53.58,51.33,48.78,57.821,D
S2464,Ahmed,Brown,student2464@univ.edu,Male,19,CS,67.8,65.08,51.48,60.82,98.17,66.26,43.73,61.866,C
S2465,Maria,Davis,student2465@univ.edu,Male,24,Business,51.52,90.57,97.46,76.83,72.72,60.82,92.57,83.599,B
S2466,Emma,Smith,student2466@univ.edu,Male,24,Business,97.58,58.56,74.21,86.12,89.97,49.13,62.84,74.389,B
S2467,Ali,Smith,student2467@univ.edu,Female,18,Business,56.47,59.22,56.51,78.57,65.39,68.43,92.26,65.416,C
S2468,Emma,Williams,student2468@univ.edu,Female,25,CS,90.88,95.76,82.01,78.14,53.18,42.45,67.38,78.743,B
S2469,John,Williams,student2469@univ.edu,Male,25,CS,76.8,40.08,69.04,69.9,74.18,65.66,91.5,66.744,C
S2470,Ahmed,Williams,student2470@univ.edu,Female,24,CS,68.12,99.61,87.33,58.09,79.32,43.29,91.72,80.915,B
S2471,Sara,Davis,student2471@univ.edu,Male,22,CS,92.75,98.81,80.77,94.52,93.99,57.8,45.44,84.279,B
S2472,Omar,Jones,student2472@univ.edu,Female,23,Engineering,92.31,57.05,52.82,91.64,57.72,88.89,75.71,68.02,C
S2473,Sara,Jones,student2473@univ.edu,Male,20,Mathematics,67.15,63.93,53.9,83.52,58.99,80.46,71.57,65.278,C
S2474,Omar,Williams,student2474@univ.edu,Female,25,Engineering,82.36,52.84,70.55,79.28,57.66,98.1,61.46,68.678,C
S2475,Ali,Williams,student2475@univ.edu,Female,23,Mathematics,50.97,89.2,47.21,60.82,53.83,91.54,67.81,62.964,C
S2476,Emma,Johnson,student2476@univ.edu,Female,22,Engineering,85.75,84.13,59.79,85.59,72.02,54.73,81.87,74.302,B
S2477,Maria,Davis,student2477@univ.edu,Female,20,CS,57.89,97.04,68.04,50.94,85.57,86.72,58.14,71.957,B
S2478,John,Jones,student2478@univ.edu,Female,21,Mathematics,70.59,78.78,77.26,65.87,54.04,73.44,77.58,72.707,B
S2479,Liam,Davis,student2479@univ.edu,Female,22,Business,52.62,92.21,92.56,66.13,78.22,84.09,58.58,79.276,B
S2480,John,Davis,student2480@univ.edu,Female,23,Mathematics,77.71,64.57,90.42,94.98,96.28,80.59,42.9,80.006,B
S2481,Omar,Jones,student2481@univ.edu,Male,20,CS,72.85,63.06,78.34,94.72,77.08,77.44,65.19,75.706,B
S2482,Maria,Smith,student2482@univ.edu,Male,19,Engineering,90.79,72.22,52.83,98.22,68.46,59.18,93.14,73.224,B
S2483,Sara,Brown,student2483@univ.edu,Female,19,Business,98.51,87.62,44.41,83.15,65.16,41.25,82.6,70.009,B
S2484,Emma,Smith,student2484@univ.edu,Male,25,Engineering,64.46,59.1,76.14,68.3,55.57,70.81,83.82,68.832,C
S2485,Ahmed,Williams,student2485@univ.edu,Male,21,Engineering,63.75,74.35,81.72,92.54,90.06,52.04,93.64,80.614,B
S2486,Ahmed,Johnson,student2486@univ.edu,Female,25,Engineering,65.86,92.44,80.44,53.99,66.94,60.89,50.81,72.124,B
S2487,Maria,Davis,student2487@univ.edu,Male,24,Business,58.19,59.3,79.76,54.73,88.35,62.44,74.44,69.218,C
S2488,Emma,Smith,student2488@univ.edu,Female,20,CS,54.58,78.1,55.77,55.4,70.69,56.02,53.28,61.317,C
S2489,Ali,Smith,student2489@univ.edu,Female,21,CS,78.1,56.65,40.23,78.74,84.04,86.69,87.46,64.504,C
S2490,Ali,Johnson,student2490@univ.edu,Female,22,Business,63.47,76.87,83.39,71.88,57.37,41.56,72.53,72.588,B
S2491,Emma,Smith,student2491@univ.edu,Female,25,CS,63.76,95.17,70.89,65.69,84.05,55.59,41.64,71.879,B
S2492,Omar,Jones,student2492@univ.edu,Male,20,Mathematics,57.63,93.76,43.19,50.25,89.22,54.92,92.24,65.901,C
S2493,Ali,Williams,student2493@univ.edu,Female,25,Engineering,92.42,43.76,58.37,51.45,61.13,51.71,98.35,61.756,C
S2494,Liam,Brown,student2494@univ.edu,Male,22,Engineering,51.08,67.51,77.04,90.29,91.82,50.11,84.96,75.449,B
S2495,John,Jones,student2495@univ.edu,Female,19,CS,67.67,95.65,85.86,85.21,50.06,98.75,95.81,83.961,B
S2496,John,Jones,student2496@univ.edu,Female,18,Engineering,91.52,51.85,82.7,93.91,99.06,70.75,41.78,76.04,B
S2497,Emma,Jones,student2497@univ.edu,Female,21,Mathematics,92.88,45.37,73.42,81.78,66.38,60.35,85.84,70.894,B
S2498,Maria,Jones,student2498@univ.edu,Female,20,Business,62.28,43.77,47.48,52.8,77.6,50.81,44.76,51.922,D
S2499,Ali,Davis,student2499@univ.edu,Female,23,Mathematics,65.76,50.66,48.4,57.04,90.35,77.85,66.06,59.318,D
S2500,Emma,Williams,student2500@univ.edu,Female,24,CS,68.91,41.54,92.27,51.71,62.53,72.48,89.92,69.505,C
S2501,Ali,Williams,student2501@univ.edu,Female,18,Engineering,70.42,85.07,81.0,52.21,69.6,44.8,48.47,70.234,B
S2502,Ali,Williams,student2502@univ.edu,Female,18,Business,94.29,87.19,71.33,82.95,95.14,58.77,89.0,82.061,B
S2503,Emma,Davis,student2503@univ.edu,Female,23,Business,92.67,67.6,88.07,54.58,86.34,72.05,67.44,76.376,B
S2504,Ahmed,Brown,student2504@univ.edu,Male,24,Business,64.92,84.55,59.94,71.7,57.95,59.1,64.92,67.381,C
S2505,Liam,Johnson,student2505@univ.edu,Male,24,Business,65.59,55.56,57.4,89.04,84.92,64.8,41.36,64.115,C
S2506,Ali,Brown,student2506@univ.edu,Male,24,Engineering,99.73,51.45,44.71,83.75,52.4,64.64,73.17,62.028,C
S2507,Maria,Smith,student2507@univ.edu,Female,19,CS,55.3,67.3,50.91,76.11,86.71,58.44,76.58,64.93,C
S2508,Omar,Williams,student2508@univ.edu,Female,25,Mathematics,62.71,70.68,81.51,71.54,81.19,53.08,81.22,74.486,B
S2509,Omar,Davis,student2509@univ.edu,Female,18,Business,64.02,74.55,59.29,83.92,65.31,47.3,72.52,67.835,C
S2510,Sara,Davis,student2510@univ.edu,Female,24,Engineering,51.6,60.63,56.77,75.94,69.25,91.61,77.22,64.935,C
S2511,Sara,Brown,student2511@univ.edu,Male,21,Mathematics,92.2,41.98,59.81,54.77,98.1,99.95,53.32,63.914,C
S2512,Ahmed,Jones,student2512@univ.edu,Female,21,Business,50.79,88.82,71.66,87.39,76.46,92.36,86.92,78.405,B
S2513,Ahmed,Jones,student2513@univ.edu,Female,18,Engineering,57.55,92.05,93.27,88.12,65.11,43.86,94.34,83.502,B
S2514,Sara,Jones,student2514@univ.edu,Male,23,Engineering,86.19,65.7,57.26,58.71,97.22,86.8,55.48,67.353,C
S2515,Liam,Smith,student2515@univ.edu,Female,24,CS,94.65,84.74,77.31,92.72,78.68,64.35,99.56,84.556,B
S2516,Maria,Brown,student2516@univ.edu,Male,25,Mathematics,81.32,66.7,51.31,89.64,79.7,59.96,70.98,68.377,C
S2517,Liam,Johnson,student2517@univ.edu,Female,18,Mathematics,66.74,50.87,78.76,82.59,80.95,98.0,67.12,72.572,B
S2518,Omar,Johnson,student2518@univ.edu,Female,22,CS,54.27,49.84,40.43,55.73,80.42,75.95,93.57,57.08,D
S2519,Ahmed,Williams,student2519@univ.edu,Female,20,Business,76.18,82.09,95.84,64.0,67.59,98.4,89.93,83.06,B
S2520,Emma,Brown,student2520@univ.edu,Female,23,Business,80.68,82.8,52.56,66.22,83.83,70.24,40.93,66.317,C
S2521,Maria,Brown,student2521@univ.edu,Male,22,Engineering,82.78,96.78,95.87,51.21,67.32,67.9,40.71,78.274,B
S2522,Ali,Smith,student2522@univ.edu,Female,20,Engineering,52.28,98.2,73.91,51.91,88.92,88.98,58.17,73.986,B
S2523,Omar,Williams,student2523@univ.edu,Male,25,CS,58.47,83.29,89.98,80.16,77.64,73.57,60.08,78.974,B
S2524,Liam,Brown,student2524@univ.edu,Male,19,Business,88.45,41.75,53.41,55.52,96.13,70.08,87.25,63.388,C
S2525,Ahmed,Smith,student2525@univ.edu,Female,25,Mathematics,66.59,81.79,92.89,82.29,99.77,72.5,44.26,81.255,B
S2526,Ali,Davis,student2526@univ.edu,Female,20,Engineering,89.52,43.67,75.24,86.33,75.51,51.59,59.45,69.283,C
S2527,John,Brown,student2527@univ.edu,Male,18,Engineering,76.07,71.08,96.04,95.78,51.63,43.96,45.92,76.955,B
S2528,Emma,Jones,student2528@univ.edu,Female,25,Business,94.56,72.12,63.37,82.94,69.21,54.05,80.26,72.981,B
S2529,Omar,Davis,student2529@univ.edu,Female,24,Mathematics,60.61,68.1,99.55,95.81,56.07,84.78,69.53,80.716,B
S2530,Ahmed,Johnson,student2530@univ.edu,Female,25,Mathematics,51.2,65.68,40.36,52.88,96.07,92.7,76.11,60.149,C
S2531,Liam,Davis,student2531@univ.edu,Male,23,Business,71.37,65.9,62.22,52.14,85.66,42.67,50.92,62.596,C
S2532,Omar,Smith,student2532@univ.edu,Female,21,CS,61.46,53.89,62.01,51.36,89.42,46.8,77.96,62.309,C
S2533,Ali,Smith,student2533@univ.edu,Male,24,Mathematics,63.6,55.43,53.45,65.59,77.55,44.64,89.71,62.278,C
S2534,Ahmed,Smith,student2534@univ.edu,Female,20,Mathematics,61.94,88.88,47.07,84.98,63.77,85.67,45.35,66.034,C
S2535,Maria,Jones,student2535@univ.edu,Female,20,Engineering,53.6,77.06,78.79,76.19,61.94,41.24,86.68,72.762,B
S2536,Omar,Brown,student2536@univ.edu,Male,21,Mathematics,82.6,54.83,71.51,88.78,84.02,51.44,72.71,72.241,B
S2537,Ali,Smith,student2537@univ.edu,Male,22,CS,94.47,78.4,58.81,69.23,97.03,47.37,72.13,72.439,B
S2538,Maria,Jones,student2538@univ.edu,Female,18,Business,85.22,78.23,53.98,67.54,99.35,88.14,97.81,74.616,B
S2539,Emma,Johnson,student2539@univ.edu,Female,24,CS,93.87,59.66,58.81,94.86,59.07,73.34,84.79,71.244,B
S2540,Omar,Davis,student2540@univ.edu,Male,20,CS,65.37,49.0,58.07,80.88,69.34,46.83,69.97,62.162,C
S2541,John,Brown,student2541@univ.edu,Male,19,Engineering,87.06,76.83,87.67,89.14,58.47,47.74,66.9,78.668,B
S2542,Sara,Davis,student2542@univ.edu,Male,22,Business,72.94,92.45,58.74,88.72,79.86,76.25,45.44,73.056,B
S2543,Sara,Brown,student2543@univ.edu,Male,21,CS,57.28,84.55,99.46,66.79,69.96,43.13,66.15,78.262,B
S2544,Ahmed,Jones,student2544@univ.edu,Male,22,Business,95.73,80.23,73.41,69.13,68.64,92.85,67.08,76.226,B
S2545,Ahmed,Smith,student2545@univ.edu,Female,21,Engineering,82.43,45.91,99.28,81.99,69.07,83.83,83.81,78.987,B
S2546,Ahmed,Davis,student2546@univ.edu,Female,25,Business,82.48,63.49,66.0,87.99,86.41,79.44,91.49,75.707,B
S2547,Ali,Davis,student2547@univ.edu,Female,21,Engineering,60.41,59.06,65.82,56.55,99.24,77.3,56.39,65.51,C
S2548,Ali,Johnson,student2548@univ.edu,Female,20,Business,70.54,44.61,43.26,73.63,67.62,65.78,84.88,58.538,D
S2549,Sara,Jones,student2549@univ.edu,Male,19,Business,78.93,48.09,81.33,85.6,95.61,63.92,71.41,74.648,B
S2550,Ali,Smith,student2550@univ.edu,Female,19,Mathematics,85.9,72.61,86.3,74.42,77.15,89.17,55.05,77.843,B
S2551,Emma,Johnson,student2551@univ.edu,Female,25,CS,70.83,96.57,77.14,91.94,81.58,72.24,74.38,82.538,B
S2552,John,Johnson,student2552@univ.edu,Male,20,Mathematics,84.52,85.15,50.84,69.17,68.37,46.46,71.79,67.449,C
S2553,Liam,Davis,student2553@univ.edu,Male,21,Mathematics,96.77,98.05,87.28,87.53,95.61,86.64,42.66,86.76,A
S2554,Emma,Smith,student2554@univ.edu,Male,23,Engineering,88.27,43.05,46.74,60.53,65.12,88.79,72.43,58.733,D
S2555,Liam,Johnson,student2555@univ.edu,Male,24,Business,89.13,99.64,73.02,73.68,59.3,84.8,89.57,80.926,B
S2556,Omar,Davis,student2556@univ.edu,Female,23,CS,87.28,63.49,99.12,59.06,82.25,79.12,44.52,76.654,B
S2557,Maria,Williams,student2557@univ.edu,Female,22,Mathematics,61.82,65.67,90.44,88.27,74.87,44.69,71.34,76.544,B
S2558,Liam,Jones,student2558@univ.edu,Male,19,Mathematics,72.36,61.88,72.38,95.14,83.41,76.93,63.81,74.166,B
S2559,Liam,Williams,student2559@univ.edu,Male,18,Mathematics,55.49,93.51,71.7,50.41,76.36,45.41,90.91,72.32,B
S2560,Omar,Davis,student2560@univ.edu,Female,23,CS,92.8,63.84,82.81,77.84,76.67,42.12,59.78,74.318,B
S2561,Emma,Johnson,student2561@univ.edu,Female,25,Engineering,77.18,66.45,71.01,85.89,58.14,42.83,54.51,68.601,C
S2562,Sara,Davis,student2562@univ.edu,Female,18,Mathematics,65.1,76.91,97.5,73.3,84.0,62.91,63.02,79.984,B
S2563,Maria,Davis,student2563@univ.edu,Female,18,CS,52.8,89.21,96.36,72.69,63.63,70.98,83.68,81.214,B
S2564,Ahmed,Davis,student2564@univ.edu,Male,23,Business,95.44,69.2,90.33,53.9,69.82,69.85,64.59,75.502,B
S2565,John,Davis,student2565@univ.edu,Male,24,Business,61.61,50.83,90.94,90.43,75.82,47.79,58.27,72.972,B
S2566,Liam,Jones,student2566@univ.edu,Male,20,CS,69.62,75.34,53.08,57.57,57.61,95.79,52.98,62.438,C
S2567,Omar,Brown,student2567@univ.edu,Female,21,Engineering,59.81,99.62,56.25,93.72,53.21,74.08,86.12,74.475,B
S2568,Omar,Smith,student2568@univ.edu,Male,21,Mathematics,69.97,85.85,60.42,51.83,56.65,92.53,42.67,64.626,C
S2569,Liam,Brown,student2569@univ.edu,Male,21,Mathematics,92.61,51.36,55.07,61.05,86.08,69.87,72.48,64.561,C
S2570,Ali,Brown,student2570@univ.edu,Female,24,CS,57.34,94.25,48.36,65.16,93.51,65.76,92.89,70.794,B
S2571,Maria,Davis,student2571@univ.edu,Female,23,Business,76.73,80.12,60.76,59.14,67.18,88.22,77.19,69.644,C
S2572,Maria,Jones,student2572@univ.edu,Male,23,CS,86.7,71.09,42.6,91.19,83.33,64.65,43.04,65.216,C
S2573,Ali,Smith,student2573@univ.edu,Female,21,Engineering,51.48,48.78,46.56,93.5,55.51,63.48,68.21,58.443,D
S2574,Maria,Smith,student2574@univ.edu,Male,19,Business,84.91,84.56,90.81,96.28,85.76,54.87,70.17,85.424,A
S2575,Omar,Jones,student2575@univ.edu,Male,25,Engineering,73.83,68.1,74.18,94.41,56.17,80.32,93.57,76.409,B
S2576,Maria,Johnson,student2576@univ.edu,Male,18,Business,57.5,66.6,55.83,67.9,59.49,94.59,78.93,64.576,C
S2577,Sara,Davis,student2577@univ.edu,Male,19,Engineering,60.38,69.32,70.08,70.32,58.74,59.8,71.44,67.482,C
S2578,Liam,Smith,student2578@univ.edu,Female,20,CS,66.05,98.02,82.52,70.76,97.14,60.54,42.13,78.533,B
S2579,Maria,Williams,student2579@univ.edu,Male,22,Engineering,88.44,74.0,76.58,76.13,74.97,99.42,43.74,74.879,B
S2580,John,Smith,student2580@univ.edu,Female,18,Engineering,53.98,55.31,57.28,77.78,59.3,86.26,84.41,63.995,C
S2581,John,Jones,student2581@univ.edu,Male,25,Mathematics,83.42,66.65,49.31,98.56,58.42,92.52,45.99,66.316,C
S2582,Ali,Davis,student2582@univ.edu,Male,24,CS,56.68,74.58,62.88,90.13,56.59,60.33,57.38,67.381,C
S2583,Ahmed,Jones,student2583@univ.edu,Female,25,Engineering,71.92,52.52,74.48,62.23,56.03,72.16,53.02,63.888,C
S2584,John,Smith,student2584@univ.edu,Female,22,Business,96.97,98.88,52.54,76.77,77.42,79.17,56.27,74.078,B
S2585,Liam,Brown,student2585@univ.edu,Male,24,CS,50.55,62.87,66.99,71.84,78.43,73.6,87.43,68.768,C
S2586,Ali,Jones,student2586@univ.edu,Male,20,CS,98.89,82.19,77.38,81.57,86.32,43.93,68.24,79.429,B
S2587,Omar,Johnson,student2587@univ.edu,Female,21,Engineering,80.84,70.73,69.53,53.2,79.99,76.05,91.3,72.001,B
S2588,Omar,Davis,student2588@univ.edu,Female,25,Mathematics,79.62,59.71,93.28,58.53,92.74,94.77,71.77,77.857,B
S2589,John,Johnson,student2589@univ.edu,Male,25,Mathematics,55.54,41.29,71.21,71.32,60.53,75.25,52.41,60.93,C
S2590,Liam,Davis,student2590@univ.edu,Female,18,Mathematics,68.69,63.83,72.26,58.48,55.58,67.83,64.2,65.454,C
S2591,Emma,Jones,student2591@univ.edu,Female,19,Business,72.23,90.7,91.85,90.74,77.03,75.61,59.85,83.998,B
S2592,Ali,Smith,student2592@univ.edu,Female,24,Mathematics,69.62,50.33,83.27,82.77,90.93,98.58,65.04,74.951,B
S2593,John,Johnson,student2593@univ.edu,Male,19,Business,63.3,85.51,42.95,75.55,63.73,49.74,62.49,62.759,C
S2594,Sara,Jones,student2594@univ.edu,Male,24,Engineering,94.75,91.31,83.24,80.64,93.79,44.9,42.92,80.721,B
S2595,Emma,Jones,student2595@univ.edu,Female,23,CS,88.79,82.21,51.35,72.3,72.95,97.05,56.9,69.409,C
S2596,Emma,Jones,student2596@univ.edu,Male,23,Mathematics,95.62,92.4,84.69,57.05,83.13,74.18,53.2,79.349,B
S2597,Maria,Smith,student2597@univ.edu,Female,21,Business,75.81,76.8,78.14,72.44,89.47,90.58,71.16,77.841,B
S2598,Ali,Williams,student2598@univ.edu,Male,25,Mathematics,86.87,65.27,65.6,86.56,91.23,67.24,52.03,72.093,B
S2599,John,Brown,student2599@univ.edu,Male,20,Engineering,80.94,73.52,50.96,98.66,83.9,65.74,97.5,74.312,B
S2600,Omar,Davis,student2600@univ.edu,Male,25,CS,58.52,70.04,51.34,72.53,76.17,69.63,82.5,65.49,C
S2601,Liam,Jones,student2601@univ.edu,Male,18,CS,62.2,83.27,83.34,70.3,84.35,52.87,59.6,75.46,B
